Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Cefobac,Popular,Cefuroxime,"Respiratory tract infections, urinary tract infections, skin infections", varies by infection and patient factors,"Diarrhea, nausea, rash",Use only if clearly needed,,
Cefpodox,Popular,Cefpodoxime,"Respiratory tract infections, urinary tract infections, skin infections",100-400 mg per day in divided doses,"Diarrhea, nausea, abdominal pain",Use only if clearly needed,,
Moxibac,Popular,Moxifloxacin,"Respiratory tract infections, skin infections, intra-abdominal infections",400 mg once daily,"Nausea, dizziness, headache",Contraindicated during pregnancy,,
Levoflox,Popular,Levofloxacin,"Respiratory tract infections, urinary tract infections, skin infections",500-750 mg once daily,"Nausea, diarrhea, insomnia",Use only if potential benefit justifies potential risk,,
Claribac,Popular,Clarithromycin,"Respiratory tract infections, skin infections, Helicobacter pylori infection",250-500 mg twice daily,"Nausea, diarrhea, taste disturbance",Use only if potential benefit justifies potential risk,,
Amoxiclav,Popular,Amoxicillin + Clavulanic Acid,"Respiratory tract infections, urinary tract infections, skin infections",varies by infection and patient factors,"Diarrhea, nausea, rash",Use only if clearly needed,,
Cefixime,Popular,Cefixime,"Respiratory tract infections, urinary tract infections, gonorrhea",200-400 mg per day in divided doses,"Diarrhea, nausea, abdominal pain",Use only if clearly needed,,
Cefradine,Popular,Cefradine,"Respiratory tract infections, urinary tract infections, skin infections",250-500 mg every 6 hours,"Nausea, diarrhea, rash",Use only if clearly needed,,
Erythrocin,Popular,Erythromycin,"Respiratory tract infections, skin infections, sexually transmitted infections",250-500 mg every 6 hours,"Nausea, vomiting, abdominal pain",Use only if clearly needed,,
Bactin Tablet 500 mg,Ibn Sina,Ciprofloxacin,"Bacterial infections including urinary tract infections, respiratory tract infections, and skin infections", 500 mg every 12 hours for 7–14 days,"Nausea, diarrhea, dizziness",Use only if potential benefit justifies potential risk,,
Bactin Eye Drop 0.3%,Ibn Sina,Ciprofloxacin (Ophthalmic),Bacterial conjunctivitis and corneal ulcers,"Instill 1–2 drops into the affected eye(s) every 2 hours while awake for 2 days, then every 4 hours for the next 5 days","Eye irritation, blurred vision, taste disturbance",Use only if potential benefit justifies potential risk,,
Bactin Injection 200 mg/100 ml,Ibn Sina,Ciprofloxacin,Severe bacterial infections requiring intravenous therapy,IV infusion; 200–400 mg every 12 hours,"Nausea, rash, liver enzyme abnormalities",Use only if potential benefit justifies potential risk,,
Romycin 500 mg Tablet,Ibn Sina,Azithromycin,"Respiratory tract infections, skin infections, and sexually transmitted infections", 500 mg once daily for 3 days or as prescribed,"Nausea, abdominal pain, diarrhea",Use only if potential benefit justifies potential risk,,
Romycin Suspension 200 mg/5 ml,Ibn Sina,Azithromycin,Pediatric bacterial infections,10 mg/kg once daily for 3 days,"Vomiting, diarrhea, rash",Use only if potential benefit justifies potential risk,,
Clarith 500 mg Tablet,Ibn Sina,Clarithromycin,"Respiratory tract infections, skin infections, and Helicobacter pylori infection",250–500 mg every 12 hours,"Taste disturbance, nausea, headache",Use only if potential benefit justifies potential risk,,
DoFixim 100 mg Capsule,Ibn Sina,Cefpodoxime Proxetil,"Upper and lower respiratory tract infections, urinary tract infections",100–200 mg every 12 hours,"Diarrhea, nausea, abdominal pain",Use only if clearly needed,,
DoFixim Suspension 40 mg/5 ml,Ibn Sina,Cefpodoxime Proxetil,Pediatric bacterial infections,5 mg/kg/day in two divided doses,"Rash, vomiting, diarrhea",Use only if clearly needed,,
Levosina 500 mg Tablet,Ibn Sina,Levofloxacin,"Respiratory tract infections, urinary tract infections, and skin infections",500 mg once daily,"Nausea, insomnia, dizziness",Use only if potential benefit justifies potential risk,,
Levosina 750 mg Tablet,Ibn Sina,Levofloxacin,"Complicated urinary tract infections, prostatitis, and skin infections", 750 mg once daily,"Headache, constipation, rash",Use only if potential benefit justifies potential risk,,
Erymex 500 mg Tablet,Ibn Sina,Erythromycin Stearate,"Respiratory tract infections, skin infections, and sexually transmitted infections",250–500 mg every 6 hours,"Abdominal cramps, diarrhea, nausea",Use only if clearly needed,,
Erymex Suspension 125 mg/5 ml,Ibn Sina,Erythromycin Stearate,Pediatric bacterial infections,30–50 mg/kg/day in divided doses every 6–12 hours,"Vomiting, stomach pain, rash",Use only if clearly needed,,
Clorocef 500 mg Capsule,Ibn Sina,Cefaclor Monohydrate,"Otitis media, lower respiratory tract infections, and urinary tract infections",250–500 mg every 8 hours,"Diarrhea, nausea, rash",Use only if clearly needed,,
Clorocef Suspension 125 mg/5 ml,Ibn Sina,Cefaclor Monohydrate,Pediatric bacterial infections,20 mg/kg/day in divided doses every 8 hours,"Vomiting, abdominal pain, rash",Use only if clearly needed,,
Sinaceph 500 mg Capsule,Ibn Sina,Cephradine,"Respiratory tract infections, skin infections, and urinary tract infections", 250–500 mg every 6 hours,"Diarrhea, nausea, rash",Use only if clearly needed,,
Ciprocin,Square ,Ciprofloxacin,"Respiratory tract infections, urinary tract infections, skin infections",Oral; 250–750 mg every 12 hours,"Nausea, diarrhea, dizziness",Use only if potential benefit justifies potential risk,,
Amodis,Square ,Metronidazole,"Anaerobic bacterial infections, protozoal infections",Oral; 500 mg every 8 hours,"Nausea, metallic taste, headache",Use only if clearly needed,,
Cef-3,Square ,Cefixime,"Respiratory tract infections, urinary tract infections, gonorrhea",Oral; 200–400 mg per day in divided doses,"Diarrhea, nausea, abdominal pain",Use only if clearly needed,,
Azicin,Square ,Azithromycin,"Respiratory tract infections, skin infections, sexually transmitted infections",Oral; 500 mg once daily for 3 days,"Nausea, abdominal pain, diarrhea",Use only if potential benefit justifies potential risk,,
Ceftid,Square ,Ceftazidime,Severe bacterial infections including Pseudomonas aeruginosa,Intravenous or intramuscular; dosage varies based on infection severity,"Diarrhea, rash, injection site reactions",Use only if clearly needed,,
Cefurox,Square ,Cefuroxime,"Respiratory tract infections, urinary tract infections, skin infections",Oral or intravenous; dosage varies based on infection and patient factors,"Diarrhea, nausea, rash",Use only if clearly needed,,
Clavulin,Square ,Amoxicillin + Clavulanic Acid,"Respiratory tract infections, urinary tract infections, skin infections",Oral; dosage varies based on infection and patient factors,"Diarrhea, nausea, rash",Use only if clearly needed,,
Doxacil,Square ,Doxycycline,"Respiratory tract infections, urinary tract infections, skin infections",Oral; 100 mg twice daily,"Nausea, photosensitivity, diarrhea",Contraindicated during pregnancy,,
Levoxin,Square ,Levofloxacin,"Respiratory tract infections, urinary tract infections, skin infections",Oral or intravenous; 500–750 mg once daily,"Nausea, diarrhea, insomnia",Use only if potential benefit justifies potential risk,,
Moxacin,Square ,Moxifloxacin,"Respiratory tract infections, skin infections, intra-abdominal infections",Oral or intravenous; 400 mg once daily,"Nausea, dizziness, headache",Contraindicated during pregnancy,,
Claricin,Square ,Clarithromycin,"Respiratory tract infections, skin infections, Helicobacter pylori infection",Oral; 250–500 mg twice daily,"Nausea, diarrhea, taste disturbance",Use only if potential benefit justifies potential risk,,
Erycin,Square ,Erythromycin,"Respiratory tract infections, skin infections, sexually transmitted infections",Oral; 250–500 mg every 6 hours,"Nausea, vomiting, abdominal pain",Use only if clearly needed,,
Tetracin,Square ,Tetracycline,"Respiratory tract infections, urinary tract infections, skin infections",Oral; 250–500 mg every 6 hours,"Nausea, photosensitivity, diarrhea",Contraindicated during pregnancy,,
Gentacin,Square ,Gentamicin,Severe bacterial infections including Pseudomonas aeruginosa,Intravenous or intramuscular; dosage based on infection severity and patient weight,"Nephrotoxicity, ototoxicity, allergic reactions",Use only if potential benefit justifies potential risk,,
Amikacin,Square ,Amikacin,Serious infections caused by Gram-negative bacteria,Intramuscular or intravenous injection; dosage varies based on infection severity and patient weight,"Nephrotoxicity, ototoxicity, neuromuscular blockade",Use with caution; potential risk to fetus,,
Vancomycin,Square ,Vancomycin,Severe Gram-positive bacterial infections,Intravenous; dosage varies based on infection severity and patient weight,"Nephrotoxicity, ototoxicity, infusion reactions",Use only if potential benefit justifies potential risk,,
Linezolid,Square ,Linezolid,Resistant Gram-positive bacterial infections,Oral or intravenous; 600 mg every 12 hours,"Diarrhea, headache, thrombocytopenia",Use only if potential benefit justifies potential risk,,
Meropenem,Square ,Meropenem,Severe bacterial infections including meningitis,Intravenous; dosage varies based on infection severity and patient weight,"Nausea, diarrhea, rash",Use only if clearly needed,,
Imipenem,Square ,Imipenem + Cilastatin,Severe bacterial infections,Intravenous; dosage varies based on infection severity and patient weight,"Nausea, vomiting, rash",Use only if clearly needed,,
Tigecycline,Square ,Tigecycline,Complicated skin and intra-abdominal infections,"Intravenous; 100 mg initial dose, then 50 mg every 12 hours","Nausea, vomiting, diarrhea",Use only if potential benefit justifies potential risk,,
Secoclav,General ,Cefuroxime + Clavulanic Acid,"Respiratory tract infections, urinary tract infections, skin infections",Oral; dosage varies based on infection and patient factors,"Diarrhea, nausea, rash",Use only if clearly needed,,
Emfogen,General ,Empagliflozin,Type 2 diabetes mellitus,Oral; 10 mg once daily,"Urinary tract infections, increased urination",Use only if potential benefit justifies potential risk,,
Epiclon,General ,Clonazepam,"Seizure disorders, panic disorders",Oral; dosage varies based on condition,"Drowsiness, dizziness, fatigue",Use only if clearly needed,,
Bost,General ,"Vitamin B1, B6, B12",Vitamin B deficiencies,Oral; dosage varies based on deficiency,Rare; possible allergic reactions,Generally considered safe,,
Rosugen,General Pharmaceuticals Ltd.,Rosuvastatin,Hypercholesterolemia,Oral; 5-40 mg once daily,"Muscle pain, liver enzyme abnormalities",Contraindicated,,
Tearfresh,General Pharmaceuticals Ltd.,Carboxymethyl cellulose Sodium,Dry eyes,Ophthalmic; 1-2 drops in affected eye(s) as needed,"Eye irritation, blurred vision",Generally considered safe,,
Voricon,General ,Voriconazole,Serious fungal infections,Oral/IV; dosage varies based on infection,"Visual disturbances, liver enzyme abnormalities",Use only if potential benefit justifies potential risk,,
Rabemax,General ,Rabeprazole,Gastroesophageal reflux disease (GERD),Oral; 20 mg once daily,"Headache, diarrhea, nausea",Use only if clearly needed,,
Alton,General ,Esomeprazole,"GERD, peptic ulcers",Oral; 20-40 mg once daily,"Headache, diarrhea, nausea",Use only if clearly needed,,
Alzed,General ,Albendazole,Parasitic worm infections,Oral; 400 mg once or as directed,"Abdominal pain, nausea, dizziness",Use only if clearly needed,,
Amit,General ,Amitriptyline Hydrochloride,"Depression, neuropathic pain",Oral; dosage varies based on condition,"Drowsiness, dry mouth, weight gain",Use only if clearly needed,,
Anginox MR,General ,Trimetazidine Dihydrochloride,Angina pectoris,Oral; 35 mg twice daily,"Dizziness, headache, gastrointestinal disturbances",Use only if clearly needed,,
Anquil,General ,Midazolam,"Sedation, anxiety",Oral/IV; dosage varies based on condition,"Drowsiness, respiratory depression",Use only if clearly needed,,
Anreb,General ,Losartan Potassium,Hypertension,Oral; 50-100 mg once daily,"Dizziness, back pain, nasal congestion",Use only if clearly needed,,
Antixa,General ,Apixaban,Prevention of stroke and systemic embolism,Oral; 5 mg twice daily,"Bleeding, anemia, nausea",Use only if clearly needed,,
Ariprazole,General ,Aripiprazole,"Schizophrenia, bipolar disorder",Oral; dosage varies based on condition,"Agitation, insomnia, anxiety",Use only if clearly needed,,
Acefenac,General ,Aceclofenac,"Pain and inflammation in osteoarthritis, rheumatoid arthritis",Oral; 100 mg twice daily,"Dyspepsia, abdominal pain, dizziness",Use only if clearly needed,,
Acunac,General ,Bromfenac Sodium,Post-operative ocular inflammation,Ophthalmic; 1 drop twice daily,"Eye irritation, blurred vision",Use only if clearly needed,,
Adiron,General ,Ferric Maltol,Iron deficiency anemia,Oral; 30 mg twice daily,"Nausea, abdominal pain, flatulence",Use only if clearly needed,,
Alton Injection,General ,Esomeprazole,"GERD, peptic ulcers",IV; 20-40 mg once daily,"Headache, diarrhea, nausea",Use only if clearly needed,,
Furotil,Healthcare,Cefuroxime Axetil,"Respiratory tract infections, UTIs",Oral; 250-500 mg twice daily,"Diarrhea, nausea, rash",Use only if clearly needed,,
Furotil Plus,Healthcare,Cefuroxime Axetil + Clavulanic Acid,"Respiratory tract infections, UTIs",Oral; 250-500 mg twice daily,"Diarrhea, nausea, rash",Use only if clearly needed,,
Denvar,Healthcare,Cefixime,"Respiratory tract infections, UTIs",Oral; 200-400 mg once daily,"Diarrhea, nausea, abdominal pain",Use only if clearly needed,,
Rozith,Healthcare,Azithromycin,"Respiratory tract infections, skin infections",Oral; 500 mg once daily for 3 days,"Nausea, diarrhea, abdominal pain",Use only if clearly needed,,
Zoventa,Healthcare,Ceftibuten,"Respiratory tract infections, UTIs",Oral; 400 mg once daily,"Diarrhea, nausea, headache",Use only if clearly needed,,
Rocef,Healthcare,Cephradine,"Respiratory tract infections, skin infections",Oral; 250-500 mg every 6 hours,"Diarrhea, nausea, rash",Use only if clearly needed,,
Zopime,Healthcare,Cefepime,Severe bacterial infections,IV/IM; 1-2 g every 8-12 hours,"Rash, diarrhea, nausea",Use only if clearly needed,,
Alinix,Healthcare,Nitazoxanide,Diarrhea caused by protozoa,Oral; 500 mg twice daily for 3 days,"Abdominal pain, nausea, headache",Use only if clearly needed,,
Oricef,Healthcare,Ceftriaxone,"Respiratory tract infections, skin infections",IV/IM; 1-2 g once daily,"Diarrhea, rash, pain at injection site",Use only if clearly needed,,
Anidula,Healthcare,Anidulafungin,Fungal infections,"IV; 200 mg on day 1, then 100 mg daily","Diarrhea, nausea, hypokalemia",Use only if clearly needed,,
Dukoral,Healthcare,Oral Cholera Vaccine,Cholera prevention,Oral; as per vaccination schedule,"Abdominal pain, diarrhea",Use only if clearly needed,,
Emistat,Healthcare,Ondansetron,Nausea and vomiting,Oral/IV; 4-8 mg every 8 hours,"Headache, constipation, dizziness",Use only if clearly needed,,
Sergel,Healthcare,Esomeprazole,"GERD, peptic ulcers",Oral; 20-40 mg once daily,"Headache, diarrhea, nausea",Use only if clearly needed,,
Actilac,Healthcare,Lactulose,Constipation,Oral; 15-30 ml once daily,"Flatulence, abdominal discomfort",Use only if clearly needed,,
Alcet,Healthcare,Levocetirizine,"Allergic rhinitis, urticaria",Oral; 5 mg once daily,"Drowsiness, dry mouth",Use only if clearly needed,,
Rosela,Healthcare,Rupatadine,"Allergic rhinitis, urticaria",Oral; 10 mg once daily,"Drowsiness, dry mouth",Use only if clearly needed,,
Vifas,Healthcare,Fexofenadine,"Allergic rhinitis, urticaria",Oral; 60-180 mg once daily,"Headache, nausea, dizziness",Use only if clearly needed,,
Esita,Healthcare,Escitalopram,"Depression, anxiety disorders",Oral; 10-20 mg once daily,"Nausea, insomnia, fatigue",Use only if clearly needed,,
Andep,Healthcare,Sertraline,"Depression, anxiety disorders",Oral; 50-200 mg once daily,"Nausea, insomnia, dry mouth",Use only if clearly needed,,
Mirez,Healthcare,Mirtazapine,Depression,Oral; 15-45 mg once daily,"Drowsiness, increased appetite",Use only if clearly needed,,
Nipavit-M,,"Retinyl Palmitate, Cholecalciferol, Thiamine Mononitrate, Riboflavin, Pyridoxine HCl, Cyanocobalamin, Ascorbic Acid, DL-Alpha Tocopheryl Acetate, Nicotinamide, Folic Acid, D-Calcium Pantothenate, Ferrous Fumarate, Zinc Sulfate, Copper Sulfate, Magnesium Oxide, Potassium Iodide."," poor diet, illness, stress, pregnancy, or lactation.",1 tablet daily (adults & children 5+).,"Nausea, upset stomach, mild diarrhea, allergic rash (rare), metallic taste.",,Nipa,
Univit-Plus,,"comprehensive mix of multivitamins and multiminerals, including Vitamins A, C, D, E, B-complex, Iron, and Zinc.","vitamin/mineral deficiency, and for patients with increased nutritional needs.",1 tablet daily (adults & children 5+).,"Gastrointestinal discomfort, mild nausea, metallic taste, rash.",,Aristopharma,
Multivit Plus,,"Retinyl Palmitate, Cholecalciferol, Ascorbic Acid, B1-B12, Ferrous Fumarate, Zinc Sulfate.","maintaining general health, energy, and immunity; used in deficiency states or during recovery",1 tablet daily (adults & children 5+).,"Occasional bloating, nausea, headache, allergic rash.",,Square,
Vitaplus,,"Retinyl Palmitate, Cholecalciferol, Folic Acid, Cyanocobalamin, Ferrous Fumarate, Zinc Sulfate."," vitamin/mineral deficiencies, improve vitality, and support immune function.",1 tablet daily (adults & children 5+).,"Mild gastrointestinal irritation, headache, flushing, allergic rash.",,Pharmadesh,
Supravit-M,,"Retinyl Palmitate, Cholecalciferol, B-complex, Folic Acid, Ferrous Fumarate, Zinc Sulfate.",supplementation of essential vitamins and minerals to maintain overall health and well-being.,1 tablet daily (adults & children 5+).,"Slight nausea, constipation, itching, rare allergic reactions.",,Drug International,
MomCare,,"Beta-Carotene, Cholecalciferol, B1-B12, Ascorbic Acid, Folic Acid, Vitamin E, Calcium Carbonate, Magnesium Oxide, Ferrous Fumarate, Zinc Sulfate, Potassium Iodide.",meet the increased nutritional requirements during pregnancy and lactation,1 tablet daily (adults & children 5+).,"Mild nausea, dark stools (due to iron), constipation, bloating.",,ACI ,
Solvit-M,,"Retinyl Acetate, Cholecalciferol, B-complex, Ferrous Sulfate, Zinc Oxide.",supplementation of essential vitamins and minerals to maintain overall health and well-being,1 tablet daily (adults & children 5+).,"Headache, dizziness, mild nausea, skin rash (rare).",,Eskayef,
Restovit-M,,"Cyanocobalamin, Ascorbic Acid, Folic Acid, Ferrous Sulfate, Zinc Sulfate","helps manage fatigue, and is useful in vitamin/mineral deficiency-related conditions.",1 tablet daily (adults & children 5+).,"Constipation, metallic taste, allergic rash, upset stomach.",,Zenith,
Opsovit MM,,"Retinyl Palmitate, Cholecalciferol, Thiamine Nitrate, Pyridoxine HCl, Folic Acid, Ferrous Fumarate, Zinc Sulfate",correction of vitamin and mineral deficiencies and during periods of high demand like stress or illness.,1 tablet daily (adults & children 5+).,Generally safe; rare instances of nausea or allergic reactions,,Opsonin,
Multivita Forte,,Multivitamins and Multiminerals,General vitamin and mineral supplementation., 1 tablet daily or as directed by a physician,Generally well tolerated; possible mild gastrointestinal discomfort.,,Aexim,
V-Plex Plus,,"Vitamin B1 (Thiamine) 5 mg, Vitamin B2 (Riboflavin) 2 mg, Vitamin B3 (Nicotinamide) 20 mg, Vitamin B6 (Pyridoxine) 2 mg","Treatment of vitamin B-complex deficiencies, including neuritis, pellagra, glossitis, beriberi, and during pregnancy", Adults: 1–2 tablets three times daily; Children: Dosage as directed by a physician.,Generally well tolerated; high doses may cause gastrointestinal disturbances.,,ACME,
Vitex-M,,Multivitamins and Multiminerals,General vitamin and mineral supplementation,1 tablet daily or as directed by a physician.,Generally well tolerated; possible mild gastrointestinal discomfort,,Ambee,
Vitalex-M,,Multivitamins and Multiminerals,General vitamin and mineral supplementation,1 tablet daily or as directed by a physician,possible mild gastrointestinal discomfort.,,Supreme,
Viton-M,,"Retinyl Palmitate, Cholecalciferol, Folic Acid, Cyanocobalamin, Ferrous Fumarate, Zinc Sulfate.",correction of vitamin and mineral deficiencies and during periods of high demand like stress or illness.,1 tablet daily,Generally well tolerated; possible mild gastrointestinal discomfort.,,Silco,
Vicon-M,,Multivitamins and Multiminerals,vitamin and mineral supplementation.,1 tablet daily or as directed by a physician.,Mild gastrointestinal irritation,,Kumudini,
Jasovit-M,,Multivitamins and Multiminerals,General vitamin and mineral supplementation,1 tablet daily ,"Gastrointestinal discomfort, mild nausea.",,Jayson,
Micoplex-M,,"Retinyl Palmitate, Cholecalciferol, Folic Acid, Cyanocobalamin, Ferrous Fumarate, Zinc Sulfate.",,,Mild gastrointestinal irritation,,Millat,
Edruvit-M  Edruc,,Multivitamins and Multiminerals,"vitamin/mineral deficiency, and for patients with increased nutritional needs.",1 tablet daily,Generally well tolerated; possible mild gastrointestinal discomfort.,,Edruc,
Cytaplex-M ,,Multivitamins and Multiminerals,"vitamin/mineral deficiency, and for patients with increased nutritional needs.",1 tablet daily,Mild gastrointestinal irritation,,Central,
Aristovit M,,"balanced formulation of multivitamins and multiminerals, including Vitamins A, C, D, E, B-complex, Iron, and Zinc.", Addresses nutritional deficiencies; enhances immune function and energy levels,"1 tablet daily after meals, or as prescribed by a physician.", Minimal side effects; occasional reports of mild gastrointestinal issues.,,Beximco,
V-Plex Plus,,"Vitamins B1 (5 mg), B2 (2 mg), B6 (2 mg), and Nicotinamide (20 mg).",Treatment of Vitamin B-complex deficiencies; supports nervous system health.,"1 to 2 tablets three times daily, depending on the severity of deficiency",Rare; high doses may lead to gastrointestinal disturbances or allergic reactions,,ACME,
Precare,,"Comprehensive prenatal multivitamin and multimineral formulation including Vitamin A, B-complex, C, D, E, K, Iron, Zinc, Copper, Selenium, Iodine, Manganese, Chromium, Molybdenum, Inositol, and Quercetin","mproving nutritional status before, during, and after pregnancy",1 tablet daily, Rare allergic reactions; folic acid may obscure pernicious anemia,,Incepta,
Bextram Gold,,Comprehensive A–Z formulation of essential vitamins and minerals.​,Prevention and treatment of vitamin and mineral deficiencies.​,1 tablet daily after meals.​,Generally well-tolerated; excessive intake may lead to hypervitaminosis or gastrointestinal disturbances.​,,Beximco,
Bextram Silver,,A–Z multivitamin and multimineral formulation tailored for seniors.​,Nutritional support for elderly individuals.​,1 tablet daily.​,Generally well-tolerated; rare cases of allergic reactions.​,,Beximco,
Aristo Gold,,High-potency multivitamins and multiminerals (A–Z Gold preparation).​,Daily nutritional supplement to prevent vitamin and mineral deficiencies.​,1 tablet daily after meals.​,Generally well-tolerated; overdosage may lead to hypervitaminosis,,Aristopharma,
Aristo Silver,,Essential vitamins and minerals formulated for elderly individuals.​, Nutritional support for seniors to maintain overall health,1 tablet daily.​,Generally well-tolerated; rare gastrointestinal disturbances,,Aristopharma,
Aristo Mom,,"16 essential vitamins and minerals, including Folic Acid, Iron, Calcium, and Vitamin D.","Nutritional support before conception, during pregnancy, and lactation",1 tablet daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider for personalized advice.,,Aristopharma,
Aristo Kid Gold,,Multivitamin and multimineral A–Z syrup preparation,Addresses vitamin and mineral deficiencies in children and adults who prefer liquid supplements.,"As prescribed by a physician, based on age and nutritional needs",Generally well-tolerated; rare cases of allergic reactions.,,Aristopharma,
Nutrum PN,,Essential vitamins and minerals tailored for prenatal nutrition.​,Supports nutritional needs during pregnancy,1 tablet daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider for personalized advice,,ACME,
Nutrum Kids,,Multivitamin and multimineral syrup formulation for children,Addresses nutritional deficiencies in children.,"As prescribed by a physician, based on age and nutritional needs",Generally well-tolerated; rare cases of allergic reactions.,,ACME,
Nutrum Junior,,Multivitamin and multimineral syrup designed for children.,Supports growth and development in children by addressing nutritional deficiencies.,"As prescribed by a physician, based on age and nutritional needs",Generally well-tolerated; rare cases of allergic reactions,,ACME,
Filwel Kids,,"Vitamin A, D3, E, C, B1, B2, B6, B12, Nicotinamide, Folic Acid, D-Panthenol, Calcium, and Zinc","maintaining general health, energy, and immunity; used in deficiency states or during recovery","1 teaspoonful (5 ml) once daily for children aged 2 to 6 years, and 1 to 2 times daily for children older than 6 years, or as prescribed by a physician","well-tolerated, with rare cases of mild gastrointestinal discomfort such as nausea or diarrhea.",,Square,
Filwel Gold,,Comprehensive A–Z formulation of essential vitamins and minerals,Prevention and treatment of vitamin and mineral deficiencies,1 tablet daily after meals,Generally well-tolerated; excessive intake may lead to hypervitaminosis or gastrointestinal disturbances.,,Square,
Filwel Silver,,A–Z multivitamin and multimineral formulation tailored for seniors,Nutritional support for elderly individuals,1 tablet daily,Generally well-tolerated; rare cases of allergic rea,,Square,
Filwel Mom,,"16 essential vitamins and minerals, including Folic Acid, Iron, Calcium, and Vitamin D.","Nutritional support before conception, during pregnancy, and lactation.",1 tablet daily or as directed by a physician., Generally well-tolerated; consult a healthcare provider for personalized advice.,,Square,
Filwel Kids ,,Multivitamin and multimineral syrup formulation for children.,Addresses vitamin and mineral deficiencies in children and adults who prefer liquid supplements,"As prescribed by a physician, based on age and nutritional needs",Generally well-tolerated; rare cases of allergic reactions,,Square,
Filwel Junior,,Multivitamin and multimineral syrup designed for children,Supports growth and development in children by addressing nutritional deficiencies,"As prescribed by a physician, based on age and nutritional needs",Generally well-tolerated; rare cases of allergic reactions,,Square,
Filwel Teen,,Multivitamin and multimineral formulation tailored for teenagers,Supports nutritional needs during adolescence,1 tablet daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider for personalized advice,,Square,
Filwel Active,,Multivitamin and multimineral formulation designed for active individuals,Supports energy metabolism and overall health in active lifestyles,1 tablet daily after meals,Generally well-tolerated; excessive intake may lead to gastrointestinal disturbances.,,Square,
Filwel Energy,,Multivitamin and multimineral formulation with added energy-supporting nutrients,Enhances energy levels and combats fatigue,1 tablet daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider for personalized advice,,Square,
Filwel Immuno,,Multivitamin and multimineral formulation with immune-boosting nutrients,Supports immune system function,1 tablet daily after meals,Generally well-tolerated; rare cases of allergic reactions,,Square,
Filwel Vision,,Multivitamin and multimineral formulation with eye health-supporting nutrients, Supports visual health and prevents age-related eye conditions,1 tablet daily or as directed by a physician,Generally well-tolerated; rare cases of allergic reactions,,Square,
Silvage,,Multivitamin and multimineral formulation tailored for seniors,Addresses nutritional deficiencies in elderly individuals,"1 tablet daily after meals, or as prescribed",Generally well-tolerated; occasional mild gastrointestinal discomfor,,Orion,
Newage,,"Comprehensive mix of multivitamins and multiminerals, including Vitamins A, C, D, E, B-complex, Iron, and Zinc.",Prevents and treats nutritional deficiencies; boosts immunity and energy,"1 tablet daily after meals, or as prescribed.",Generally well-tolerated; occasional mild gastrointestinal discomfort,,Orion,
Goldage,,High-potency multivitamins and multiminerals (A–Z Gold preparation),Daily nutritional supplement to prevent vitamin and mineral deficiencies,1 tablet daily after meals,Generally well-tolerated; overdosage may lead to hypervitaminosis,,Orion,
D-Rise 2000 IU ,,Cholecalciferol (Vitamin D3) 2000 IU​,"Prevention and treatment of Vitamin D deficiency, supports bone health",1 tablet daily or as directed by a physician,Generally well-tolerated; excessive doses may lead to hypercalcemia,,Beximco,
D-Rise 40000 IU,,Cholecalciferol (Vitamin D3) 40000 IU,Treatment of severe Vitamin D deficiency,1 capsule weekly or as prescribed by a physician,Possible hypercalcemia with prolonged use,,Beximco,
Delight 40000 IU,,Cholecalciferol (Vitamin D3) 40000 IU,Management of Vitamin D deficiency and associated bone disorders,1 capsule weekly or as directed by a healthcare professional,Generally safe; excessive intake may cause hypercalcemia,,Opsonin,
Algecal DX,,Vitamin D3 400 IU​ + Calcium (Algae Source) 600 mg ,Supports bone health; prevention and treatment of calcium and Vitamin D deficiencies,1 tablet daily with meals or as advised by a physician,May include gastrointestinal discomfort or constipation,,Opsonin,
Osteo-D 40000 IU,,Cholecalciferol (Vitamin D3) 40000 IU,Treatment of Vitamin D deficiency and related bone disorders,1 capsule weekly or as prescribed by a healthcare professional,Generally well-tolerated; excessive doses may lead to hypercalcemia,,Incepta ,
Vita-D3 20000 IU,,Cholecalciferol (Vitamin D3) 20000 IU,Prevention and treatment of Vitamin D deficiency,1capsule weekly or as directed by a physician,Generally safe; excessive intake may cause hypercalcemia,,Renata,
D-Balance 2000 IU,,Cholecalciferol (Vitamin D3) 2000 IU,Prevention and treatment of Vitamin D deficiency,1 capsule daily or as directed by a physician,Generally well-tolerated; excessive doses may lead to hypercalcemia,,Square,
Bextram Teen HM,,"Multivitamin and multimineral formulation designed for teenagers, including Vitamins A, B-complex, C, D, E, and essential minerals","Supports growth, development, and overall health in teenagers",1 tablet daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider if any adverse effects occur,,Beximco,
Vivis,,"Vitamins and minerals supporting eye health, including Vitamin A, C, E, and Zinc.",upports vision health and addresses nutritional deficiencies related to eye function,1 capsule daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider if any adverse effects occur,,Beximco,
Delight 2000 IU,,Cholecalciferol (Vitamin D3) 2000 IU,Prevention and treatment of Vitamin D deficiency,1 capsule daily or as directed by a physician,Generally well-tolerated; excessive intake may lead to hypercalcemia,,Opsonin,
